community,percent_free_reduced_lunch,four_year_graduation_rate,college_enrollment,no_internet
EDISON PARK,0.14,0.96,0.78,0
NORWOOD PARK,0.31,0.91,0.78,0.03
JEFFERSON PARK,0.52,0.89,0.74,0.04
FOREST GLEN,0.22,0.97,0.81,0.04
NORTH PARK,0.62,0.86,0.74,0.1
WEST RIDGE,0.8,0.83,0.69,0.13
ROGERS PARK,0.79,0.85,0.62,0.23
DUNNING,0.6,0.86,0.73,0.1
PORTAGE PARK,0.65,0.84,0.72,0.12
IRVING PARK,0.67,0.83,0.68,0.12
ALBANY PARK,0.78,0.83,0.62,0.18
LINCOLN SQUARE,0.45,0.91,0.74,0.07
EDGEWATER,0.59,0.89,0.73,0.15
UPTOWN,0.72,0.82,0.72,0.14
NORTH CENTER,0.17,0.92,0.81,0.02
LAKEVIEW,0.23,0.93,0.75,0.04
MONTCLARE,0.8,0.79,0.64,0.13
BELMONT CRAGIN,0.87,0.81,0.64,0.24
AVONDALE,0.79,0.83,0.67,0.23
LOGAN SQUARE,0.68,0.82,0.63,0.18
LINCOLN PARK,0.16,0.86,0.82,0.04
HERMOSA,0.88,0.79,0.6,0.17
AUSTIN,0.9,0.75,0.57,0.34
HUMBOLDT PARK,0.91,0.8,0.55,0.32
WEST TOWN,0.62,0.83,0.75,0.11
NEAR NORTH SIDE,0.63,0.8,0.69,0.11
WEST GARFIELD PARK,0.93,0.71,0.51,0.31
EAST GARFIELD PARK,0.91,0.78,0.48,0.3
NEAR WEST SIDE,0.64,0.77,0.58,0.14
LOOP,0.28,0.91,0.83,0.04
NORTH LAWNDALE,0.94,0.72,0.52,0.37
SOUTH LAWNDALE,0.93,0.77,0.58,0.31
LOWER WEST SIDE,0.84,0.82,0.63,0.23
NEAR SOUTH SIDE,0.48,0.89,0.76,0.18
ARMOUR SQUARE,0.84,0.92,0.73,0.12
DOUGLAS,0.86,0.83,0.52,0.21
GARFIELD RIDGE,0.66,0.86,0.71,0.12
ARCHER HEIGHTS,0.88,0.75,0.65,0.15
BRIGHTON PARK,0.91,0.78,0.6,0.15
MCKINLEY PARK,0.8,0.81,0.69,0.09
BRIDGEPORT,0.74,0.88,0.79,0.07
WEST ELSDON,0.87,0.82,0.65,0.16
GAGE PARK,0.83,0.76,0.6,0.19
NEW CITY,0.94,0.76,0.56,0.27
FULLER PARK,0.95,0.48,0.6,0.05
GRAND BOULEVARD,0.79,0.82,0.57,0.18
OAKLAND,0.81,0.82,0.59,0.2
KENWOOD,0.74,0.85,0.58,0.14
CLEARING,0.66,0.84,0.74,0.18
WEST LAWN,0.88,0.85,0.65,0.19
CHICAGO LAWN,0.93,0.79,0.65,0.2
WEST ENGLEWOOD,0.95,0.75,0.43,0.46
ENGLEWOOD,0.95,0.68,0.44,0.38
WASHINGTON PARK,0.91,0.73,0.5,0.26
HYDE PARK,0.56,0.83,0.57,0.07
GREATER GRAND CROSSING,0.92,0.75,0.49,0.34
WOODLAWN,0.87,0.8,0.53,0.21
SOUTH SHORE,0.89,0.75,0.51,0.33
ASHBURN,0.83,0.86,0.65,0.16
AUBURN GRESHAM,0.89,0.78,0.56,0.38
CHATHAM,0.85,0.8,0.54,0.29
AVALON PARK,0.79,0.84,0.55,0.09
SOUTH CHICAGO,0.91,0.76,0.54,0.17
BEVERLY,0.41,0.91,0.74,0.12
WASHINGTON HEIGHTS,0.82,0.82,0.6,0.12
ROSELAND,0.88,0.78,0.5,0.24
CALUMET HEIGHTS,0.77,0.84,0.64,0.14
BURNSIDE,0.88,0.74,0.48,0
MOUNT GREENWOOD,0.18,0.76,0.61,0.07
MORGAN PARK,0.76,0.7,0.54,0.2
WEST PULLMAN,0.9,0.75,0.53,0.2
PULLMAN,0.84,0.86,0.65,0.22
EAST SIDE,0.86,0.8,0.6,0.13
SOUTH DEERING,0.9,0.78,0.59,0.1
RIVERDALE,0.97,0.65,0.33,0.31
HEGEWISCH,0.8,0.79,0.55,0.03